Day,AdultCount,LarvaCount,PupaCount,MeanTemperature,MeanPrecipitation,TankCount,MeanWaterVolume,TotalEggs,TotalLarvae
1,133046,55423,32913,21.87,11.4741,5317,84.924736,265341,181889
2,132696,55373,32897,21.87,11.4749,5317,84.924736,233276,213954
3,132468,55325,32877,21.87,11.4682,5317,84.924736,202612,244618
4,132259,55273,32861,21.87,11.4654,5317,84.924736,177268,269962
5,132082,55216,32831,21.87,11.4665,5317,84.924736,154775,292455
6,131902,55158,32803,21.87,11.4612,5317,84.924736,135315,311915
7,131742,55096,32779,21.87,11.4564,5317,84.924736,118379,328851
8,131608,55040,32746,21.87,11.4568,5317,84.924736,103122,344108
9,131496,54981,32718,21.87,11.4491,5317,84.924736,90699,356531
10,131405,54937,32669,21.87,11.4457,5317,84.924736,79082,368148
11,131279,54885,32640,21.87,11.4496,5317,84.924736,69432,377798
12,131161,54832,32608,21.87,11.4519,5317,84.92474,60614,386616
13,131035,54779,32587,21.87,11.4512,5317,84.924736,52993,394237
14,130918,54725,32569,21.87,11.4476,5317,84.924736,46406,400824
15,130824,54666,32544,21.87,11.4453,5317,84.924736,40768,406462
16,130670,54609,32523,21.87,11.4456,5317,84.924736,35617,411613
17,130520,54541,32500,21.87,11.4504,5317,84.924736,31146,416084
18,130354,54478,32477,21.87,11.4458,5317,84.924736,27179,420051
19,130231,54418,32444,21.87,11.4485,5317,84.924736,23839,423391
20,130079,54360,32416,21.87,11.4517,5317,84.924736,20856,426374
21,129949,54292,32386,21.87,11.4542,5317,84.924736,18178,429052
22,129812,54237,32348,21.87,11.4605,5317,84.924736,16036,431194
23,129645,54186,32307,21.87,11.4523,5317,84.924736,14179,433051
25,129506,54128,32273,21.87,11.4529,5317,84.924736,12535,434695
26,129356,54070,32245,21.87,11.4454,5317,84.924736,11101,436129
27,129213,54015,32207,21.87,11.4496,5317,84.924736,9732,437498
28,129061,53967,32179,21.87,11.4396,5317,84.924736,8644,438586
29,128937,53916,32153,21.87,11.4357,5317,84.924736,7621,439609
30,128819,53868,32110,21.87,11.4307,5317,84.924736,6754,440476
31,128692,53822,32072,21.87,11.4287,5317,84.924736,6023,441207
32,128574,53750,32040,21.87,11.432,5317,84.924736,5404,441826
33,128445,53698,31995,21.87,11.4332,5317,84.924736,4836,442394
34,128256,53649,31958,21.87,11.4292,5317,84.924736,4311,442919
35,128091,53586,31927,21.87,11.4238,5317,84.924736,3830,443400
36,127936,53535,31904,21.87,11.4227,5317,84.924736,3460,443770
