TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m
100,2684156b-1257-43ee-8893-3cdab3c08d7f,Mosquitoes,LivingAgent,41.764303,9.615625,1,1176,ADULT,0.701,0,0,0,0,0,0,0,1099.0,0.0,1.7342,0.2542,18.23
100,0a4c7271-9ec2-49d3-b0f7-d8f2fbeea51e,Mosquitoes,LivingAgent,41.838616,9.644309,1,1764,ADULT,0.328,0,0,0,0,1,2,0,1162.0,0.0,74.8436,0.0,22.13
100,336d88a7-30b7-447f-a49b-a5b87b0f5439,Mosquitoes,LivingAgent,41.879146,9.648848,1,175,PUPA,0.793,0,0,0,0,0,0,0,1189.0,0.0,53.2714,0.0,21.74
100,196d03dc-ba15-4761-9209-efbf038108db,Mosquitoes,LivingAgent,41.863439,9.642474,1,1262,ADULT,0.664,1,0,0,0,0,0,0,1164.0,0.0,64.0936,0.0,22.13
100,1234a912-fe27-48c9-b941-ce2d429e13b8,Mosquitoes,LivingAgent,41.891969,9.657535,1,1901,ADULT,0.65,0,0,0,0,0,0,0,1217.0,0.0,18.279,0.0,21.74
100,c72ac1b2-d5e8-4432-b3ed-26a6a81921a2,Mosquitoes,LivingAgent,41.839876,9.650554,1,769,LARVA,0.796,0,0,0,0,0,0,0,1185.0,2.0,77.2715,0.0,22.13
100,da5e4441-c049-4f4f-b7a4-fbd4b3cc7741,Mosquitoes,LivingAgent,41.843227,9.658362,1,264,PUPA,0.615,0,0,0,0,0,0,0,1193.0,3.0,71.5434,0.0,22.13
100,732597a8-fd47-4b8e-8835-26a5e322acf3,Mosquitoes,LivingAgent,41.832184,9.657589,1,1039,ADULT,0.749,0,0,0,0,0,0,0,1195.0,3.0,57.2848,0.0,22.13
100,53cefceb-a2bc-4185-9be3-be0b8bf2170f,Mosquitoes,LivingAgent,41.837371,9.656436,1,602,ADULT,0.45,0,0,0,0,1,0,0,1196.0,2.0,81.3354,0.0,22.13
100,a91afbd5-2a7f-40ba-be7b-f82018834e58,Mosquitoes,LivingAgent,41.867484,9.674051,1,12,PUPA,0.557,0,0,0,0,0,0,0,1242.0,2.0,73.4798,0.0,22.13
100,306e96e5-0289-4d9a-ab2a-c0a1b62c9004,Mosquitoes,LivingAgent,41.821522,9.63754,1,155,PUPA,0.764,0,0,0,0,0,0,0,1153.0,0.0,18.3075,0.0,22.13
100,eec62c7b-c20c-4c8d-9a0c-5679b8e5b0d5,Mosquitoes,LivingAgent,41.873677,9.649728,1,42,ADULT,0.651,0,0,0,0,1,3,0,1170.0,3.0,76.5445,0.0,22.13
100,3114c5a2-6c20-44bf-9b4b-0cc49fb3cd4c,Mosquitoes,LivingAgent,41.835765,9.65779,1,1162,ADULT,0.756,1,0,0,0,0,0,0,1196.0,2.0,76.268,0.0,22.13
100,e635891e-8fa4-4fb2-941d-dcd24b4418aa,Mosquitoes,LivingAgent,41.84415,9.647429,1,89,ADULT,0.49,0,0,0,0,0,0,0,1182.0,4.0,78.5547,0.0,22.13
100,6c3c0ad4-72c7-48aa-8013-bf6c23832e59,Mosquitoes,LivingAgent,41.86243,9.665304,1,487,ADULT,0.412,0,0,0,0,0,0,0,1213.0,0.0,76.7065,0.0,22.13
100,b9d285bd-d2bf-41ee-873d-4853cbd13307,Mosquitoes,LivingAgent,41.845584,9.652956,1,67,PUPA,0.688,0,0,0,0,0,0,0,1187.0,4.0,80.3408,0.0,22.13
100,9567a682-0ec4-4e8c-a657-3e95240445e1,Mosquitoes,LivingAgent,41.877429,9.634561,1,454,LARVA,0.649,0,0,0,0,0,0,0,1174.0,3.0,29.1331,0.0,21.74
100,306abc52-ee9b-465d-b9a2-04c175945ae5,Mosquitoes,LivingAgent,41.867011,9.674106,1,485,ADULT,0.436,0,0,0,0,1,3,0,1242.0,1.0,74.0262,0.0,22.13
100,87e13af6-55ad-48d5-b9c2-aa79eee26ac1,Mosquitoes,LivingAgent,41.789914,9.643078,1,1409,ADULT,0.438,1,0,0,0,0,0,0,1143.0,0.0,25.6892,0.0,22.13
100,8beb287b-503e-4954-af69-f7a7d9d136a6,Mosquitoes,LivingAgent,41.907067,9.645669,1,1067,ADULT,0.671,1,0,0,0,0,0,0,1445.0,0.0,2.7572,0.0,21.74
100,d54d8d77-e931-41fc-9b2b-6bc3fb934b0d,Mosquitoes,LivingAgent,41.859753,9.654956,1,675,ADULT,0.321,0,0,0,0,0,0,0,1195.0,2.0,70.3705,0.0,22.13
100,2d37c1cf-5204-42e5-b311-26a1a6e14c73,Mosquitoes,LivingAgent,41.876964,9.662253,1,169,ADULT,0.516,0,0,0,0,0,0,0,1215.0,4.0,71.0822,0.0,21.74
100,54911db8-6bbe-4f2b-8da5-37da31b473b6,Mosquitoes,LivingAgent,41.87989,9.65427,1,1390,ADULT,0.701,0,0,0,0,0,0,0,1192.0,0.0,43.8167,0.0,21.74
100,41f95b7d-2aba-40a6-acec-e569a7608eed,Mosquitoes,LivingAgent,41.840522,9.625724,1,74,PUPA,0.533,0,0,0,0,0,0,0,1121.0,2.0,19.5496,0.0,22.13
100,819e67ad-f8ba-4905-b4fa-ef5a8bdf9449,Mosquitoes,LivingAgent,41.862512,9.65699,1,230,PUPA,0.539,0,0,0,0,0,0,0,1201.0,0.0,71.1679,0.0,22.13
100,e3c806c4-08d6-4b23-a195-10f833564efb,Mosquitoes,LivingAgent,41.881573,9.651616,1,443,ADULT,0.541,0,0,0,0,0,0,0,1199.0,0.0,49.0701,0.0,21.74
100,3b259224-07ba-4a29-9d32-db2fb8412a0f,Mosquitoes,LivingAgent,41.840273,9.662754,1,1820,ADULT,0.743,1,0,0,0,0,0,0,1201.0,1.0,61.8687,0.0,22.13
100,6b856493-117e-496f-a8f0-ce59482d4d93,Mosquitoes,LivingAgent,41.87784,9.643025,1,693,LARVA,0.659,0,0,0,0,0,0,0,1165.0,0.0,42.8567,0.0,21.74
100,7c06ddd1-19cb-48d9-b213-a8a09e4a2c39,Mosquitoes,LivingAgent,41.777479,9.631738,1,835,LARVA,0.804,0,0,0,0,0,0,0,1123.0,0.0,32.6975,0.0,22.13
100,5ac62def-264a-457a-82e6-21dbbe6a28a5,Mosquitoes,LivingAgent,41.864104,9.654539,1,66,PUPA,0.506,0,0,0,0,0,0,0,1196.0,0.0,76.9395,0.0,22.13
100,bf183f10-7868-4048-9713-e513fee0f777,Mosquitoes,LivingAgent,41.855095,9.659795,1,558,LARVA,0.648,0,0,0,0,0,0,0,1201.0,0.0,68.5937,0.0,22.13
100,8711c005-9b80-4451-8899-dcfe7c8f061b,Mosquitoes,LivingAgent,41.868499,9.656151,1,819,LARVA,0.636,0,0,0,0,0,0,0,1187.0,0.0,70.0608,0.0,22.13
100,443000fe-2b95-432e-97c3-1dadd0851856,Mosquitoes,LivingAgent,41.851171,9.654599,1,152,ADULT,0.32,1,0,0,0,0,0,0,1189.0,1.0,58.9049,0.0,22.13
