TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m
100,b3c53ecf-96c1-40b5-958a-97e2162dc86b,Mosquitoes,LivingAgent,41.789688,9.64152,1,1192,ADULT,0.71,0,0,0,0,0,0,0,1142.0,2.0,31.55,0.0,22.13
100,82352a3e-c497-466b-b367-d5056bbbc412,Mosquitoes,LivingAgent,41.8552,9.675191,1,246,PUPA,0.63,0,0,0,0,0,0,0,1225.0,2.0,59.68,0.0,22.13
100,d9247048-fa38-4a8c-a42c-1f20826e9fb5,Mosquitoes,LivingAgent,41.843996,9.643912,1,193,ADULT,0.786,0,0,0,0,1,1,0,1162.0,3.0,66.94,0.0,22.13
100,9fcbe426-9dc8-4d1b-91ee-e06036415331,Mosquitoes,LivingAgent,41.892062,9.630861,1,184,PUPA,0.666,0,0,0,0,0,0,0,1137.0,0.0,4.2,0.0,21.74
100,12677270-85b6-4593-92d1-5be045801fbc,Mosquitoes,LivingAgent,41.82235,9.636045,1,271,ADULT,0.604,0,0,0,0,0,0,0,1148.0,0.0,16.25,0.0,22.13
100,e51ed5f5-58e5-4827-9868-11cbeb518ebe,Mosquitoes,LivingAgent,41.872645,9.642516,1,1846,ADULT,0.673,1,0,0,0,0,0,0,1163.0,1.0,72.09,0.0,22.13
100,98f2fd6a-2d6a-4b8b-b332-e45cd53b86e5,Mosquitoes,LivingAgent,41.867799,9.662454,1,462,LARVA,0.897,0,0,0,0,0,0,0,1207.0,2.0,70.29,0.0,22.13
100,aa7621ad-9ba2-45d9-b54b-8b00a85fbc58,Mosquitoes,LivingAgent,41.872483,9.674734,1,658,ADULT,0.53,0,0,0,0,0,0,0,1265.0,1.0,68.64,0.0,22.13
100,d835850a-aecc-4607-ab04-08bdd9f989c6,Mosquitoes,LivingAgent,41.876397,9.649814,1,746,LARVA,0.898,0,0,0,0,0,0,0,1185.0,3.0,64.04,0.0,21.74
100,5e4ead67-5eac-4a7d-8326-b333eea4f770,Mosquitoes,LivingAgent,41.841679,9.650118,1,952,LARVA,0.615,0,0,0,0,0,0,0,1185.0,4.0,71.34,0.0,22.13
100,688de398-c131-4dff-8506-5a4a7218150f,Mosquitoes,LivingAgent,41.876303,9.641501,1,1466,ADULT,0.489,0,0,0,0,0,0,0,1159.0,0.0,51.7,0.0,21.74
100,a57850e9-10f6-4ae0-816d-18b6b4ba91b2,Mosquitoes,LivingAgent,41.823674,9.641954,1,208,LARVA,0.684,0,0,0,0,0,0,0,1161.0,0.0,33.44,0.0,22.13
100,34faba89-100b-43d0-bb97-57336f3c8d53,Mosquitoes,LivingAgent,41.847624,9.65101,1,1886,ADULT,0.533,0,0,0,0,1,1,0,1185.0,3.0,81.31,0.0,22.13
100,9f525d98-0b54-4557-9e8e-0413dffa0fd0,Mosquitoes,LivingAgent,41.835834,9.644105,1,1046,ADULT,0.357,0,0,0,0,1,0,0,1161.0,1.0,78.6,0.0,22.13
100,0adf05a7-76e0-44b6-bda6-c1935a8b7bb2,Mosquitoes,LivingAgent,41.75564,9.631075,1,406,LARVA,0.8,0,0,0,0,0,0,0,1114.0,0.0,2.5,0.0,22.13
100,9fe5c189-e16d-4a16-88de-d5cc960f0322,Mosquitoes,LivingAgent,41.850734,9.670491,1,1722,ADULT,0.565,0,0,0,0,0,0,0,1215.0,4.0,47.15,0.0,22.13
100,9ba32242-6641-4fc1-9d90-3aa26f391bfa,Mosquitoes,LivingAgent,41.864814,9.64843,1,1155,ADULT,0.375,0,0,0,0,0,0,0,1180.0,0.0,74.27,0.0,22.13
100,39bdabfd-e4d5-4765-82cb-7d6196fb03ba,Mosquitoes,LivingAgent,41.840439,9.644404,1,1890,ADULT,0.387,0,0,0,0,1,1,0,1162.0,1.0,75.85,0.0,22.13
100,d075298b-0da7-4370-bee0-6a3484ee377d,Mosquitoes,LivingAgent,41.851212,9.647581,1,182,PUPA,0.731,0,0,0,0,0,0,0,1176.0,5.0,67.87,0.0,22.13
100,56fd28ea-d0a3-4bb1-a5dc-73ddf59ec6b0,Mosquitoes,LivingAgent,41.823703,9.647826,1,551,ADULT,0.752,0,0,0,0,0,0,0,1178.0,0.0,52.96,0.0,22.13
100,ba3ba3ad-2410-4210-83a3-371eed8a0a9d,Mosquitoes,LivingAgent,41.852199,9.658951,1,761,ADULT,0.601,0,0,0,0,0,0,0,1199.0,1.0,76.93,0.0,22.13
100,cfb905aa-a8df-410e-b24f-1fe9aad07b44,Mosquitoes,LivingAgent,41.880316,9.652348,1,52,PUPA,0.686,0,0,0,0,0,0,0,1199.0,0.0,49.05,0.0,21.74
100,f988402c-8c0e-40a6-bb35-e41834fd274e,Mosquitoes,LivingAgent,41.868879,9.643902,1,63,PUPA,0.674,0,0,0,0,0,0,0,1165.0,0.0,46.34,0.0,22.13
100,1acbb833-9df2-4cfe-ad04-dd526611ec69,Mosquitoes,LivingAgent,41.842349,9.641998,1,567,LARVA,0.664,0,0,0,0,0,0,0,1160.0,0.0,56.19,0.0,22.13
100,e1c9a01f-b397-4e41-a6f0-a0fc82d71bf9,Mosquitoes,LivingAgent,41.835113,9.637805,1,1739,ADULT,0.345,0,0,0,0,0,0,0,1158.0,3.0,57.23,0.0,22.13
100,bc5a0fa8-84c6-4b1d-9229-660adf2dac48,Mosquitoes,LivingAgent,41.844134,9.618762,1,1443,ADULT,0.659,0,0,0,0,0,0,0,1109.0,0.0,8.26,0.2542,18.23
100,e621b902-edbd-4248-a7df-bd558c25cc89,Mosquitoes,LivingAgent,41.876584,9.661191,1,218,PUPA,0.743,0,0,0,0,0,0,0,1213.0,3.0,66.24,0.0,21.74
100,d522c329-f6a4-477d-bd81-bc71ce4efff5,Mosquitoes,LivingAgent,41.852129,9.650155,1,494,LARVA,0.7,0,0,0,0,0,0,0,1174.0,0.0,76.93,0.0,22.13
100,c8c23ea5-3758-4db8-aa85-c067b2d6ada9,Mosquitoes,LivingAgent,41.856891,9.654842,1,1452,ADULT,0.401,0,0,0,0,1,2,0,1191.0,1.0,62.27,0.0,22.13
100,2def9062-ffdd-44ae-9b26-e0c2c98ad4fb,Mosquitoes,LivingAgent,41.884004,9.644291,1,1195,ADULT,0.341,1,0,0,0,0,0,0,1192.0,0.0,18.79,0.0,21.74
100,fffe6963-eb5f-41d3-9627-b3e535f2687f,Mosquitoes,LivingAgent,41.876269,9.642534,1,443,LARVA,0.603,0,0,0,0,0,0,0,1164.0,0.0,64.22,0.0,21.74
100,e8e2d55a-a515-4d80-a3b5-866dda46c828,Mosquitoes,LivingAgent,41.783046,9.639126,1,58,PUPA,0.712,0,0,0,0,0,0,0,1138.0,0.0,39.89,0.0,22.13
100,bee501de-ff43-4dc0-a74f-702d60b0df65,Mosquitoes,LivingAgent,41.828639,9.63186,1,31,LARVA,0.802,0,0,0,0,0,0,0,1138.0,1.0,14.03,0.0,22.13
100,046a679e-0f67-4ac3-bd17-d7e965a889c5,Mosquitoes,LivingAgent,41.839793,9.640388,1,597,LARVA,0.849,0,0,0,0,0,0,0,1149.0,0.0,56.93,0.0,22.13
100,edd7da63-afe6-4506-b45b-e31494701e16,Mosquitoes,LivingAgent,41.862191,9.675044,1,1693,ADULT,0.634,0,0,0,0,0,0,0,1282.0,0.0,81.36,0.0,22.13
100,4a5b5f03-7720-481b-bc23-b05016487e25,Mosquitoes,LivingAgent,41.824391,9.642044,1,1390,ADULT,0.531,0,0,0,0,0,0,0,1161.0,1.0,33.85,0.0,22.13
100,9dfa2228-2381-40d5-9c09-cc2fb6d5586e,Mosquitoes,LivingAgent,41.86117,9.630734,1,130,ADULT,0.693,0,0,0,0,0,0,0,1133.0,0.0,39.09,0.0,22.13
100,a2acb0ca-b2e1-463e-8335-11b3398d8f12,Mosquitoes,LivingAgent,41.888174,9.658985,1,152,PUPA,0.529,0,0,0,0,0,0,0,1221.0,0.0,40.12,0.0,21.74
100,718e041f-fe08-4fae-9145-4f7debf0590e,Mosquitoes,LivingAgent,41.78952,9.643893,1,1139,ADULT,0.55,0,0,0,0,0,0,0,1145.0,0.0,21.15,0.0,22.13
100,275ad7e4-81a7-4d6d-8935-b35ab6da6b4a,Mosquitoes,LivingAgent,41.860713,9.658894,1,421,ADULT,0.561,1,0,0,0,0,0,0,1201.0,0.0,65.07,0.0,22.13
100,ed74a04f-1d81-4494-ae49-6c53671dc74b,Mosquitoes,LivingAgent,41.834515,9.605068,1,69,LARVA,0.752,0,0,0,0,0,0,0,1084.0,0.0,4.05,0.2542,18.23
100,8ec6452c-6029-44a1-924b-33d10741e1d4,Mosquitoes,LivingAgent,41.847692,9.653211,1,683,LARVA,0.897,0,0,0,0,0,0,0,1179.0,1.0,73.12,0.0,22.13
100,492b4104-973f-480c-b93e-cd2cbf6e288c,Mosquitoes,LivingAgent,41.859982,9.641386,1,219,ADULT,0.565,0,0,0,0,0,0,0,1159.0,0.0,48.5,0.0,22.13
100,133a1687-ec7a-4030-aa24-c643faac5cc5,Mosquitoes,LivingAgent,41.859947,9.630659,1,1374,ADULT,0.669,0,0,0,0,1,0,0,1134.0,0.0,38.01,0.0,22.13
100,5c01297d-b0ad-4f99-b8b0-b189e3cfaffc,Mosquitoes,LivingAgent,41.768742,9.633134,1,24,ADULT,0.557,0,0,0,0,1,2,0,1127.0,0.0,7.69,0.0,22.13
100,d4250f9e-df3b-4e65-bf96-97d910789bae,Mosquitoes,LivingAgent,41.846575,9.657577,1,487,ADULT,0.457,0,0,0,0,0,0,0,1185.0,4.0,69.89,0.0,22.13
