TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m
100,e1c1a54c-4ed1-41d5-bd59-8e9858103b4d,Mosquitoes,LivingAgent,39.310471,6.548821,1,257,PUPA,0.789,0,0,0,0,0,0,0,3017.0,0.0,1.1266,4.8347,15.23
100,0af4893f-97fe-48f2-9fb1-3457ddd0b922,Mosquitoes,LivingAgent,39.223158,6.593448,1,83,LARVA,0.768,0,0,0,0,0,0,0,2860.0,0.0,1.1673,4.8347,15.23
100,a81b7903-6d79-417e-a01d-6b185818d643,Mosquitoes,LivingAgent,39.623807,5.508791,1,986,LARVA,1.0,0,0,0,0,1,1,0,1871.0,0.0,1.279,0.5865,22.06
100,c919f895-0782-4f34-bb35-0957669dc2fc,Mosquitoes,LivingAgent,39.280181,6.573201,1,1429,ADULT,0.465,0,0,0,0,0,0,0,2841.0,0.0,2.6795,4.8347,15.23
100,7f02d214-c389-41bf-9013-7df1200b0e85,Mosquitoes,LivingAgent,38.600452,5.772822,1,446,ADULT,0.743,1,0,0,0,0,0,0,2004.0,0.0,1.833,0.3781,18.4
100,5b7f7527-5429-4465-b6a2-269e0e8ac6f2,Mosquitoes,LivingAgent,39.347096,6.638688,1,913,ADULT,0.425,0,0,0,0,0,0,0,2609.0,0.0,1.4562,4.364,14.05
100,334eaa2f-3677-42f1-8db6-e6aeec69e436,Mosquitoes,LivingAgent,39.680218,5.453441,1,275,PUPA,0.727,0,0,0,0,0,0,0,1758.0,0.0,0.8624,0.6175,23.01
100,69d8e454-e7e8-4d47-bad6-42481bd8a920,Mosquitoes,LivingAgent,38.56936,6.125685,1,1584,ADULT,0.486,0,0,0,0,1,0,0,1642.0,0.0,0.6709,2.449,14.78
100,abef4fc6-b7f8-4487-a295-d01929858f20,Mosquitoes,LivingAgent,38.445874,6.293597,1,128,PUPA,0.796,0,0,0,0,0,0,0,1594.0,0.0,2.3347,2.449,14.78
100,53d48f24-d9f0-4e9d-aa03-d2a01eb27f9c,Mosquitoes,LivingAgent,39.29493,5.377597,1,713,ADULT,0.596,0,0,0,0,0,0,0,1599.0,0.0,6.4999,0.524,21.42
100,a75d3341-6445-40cf-9bd1-a2668e9cbfaa,Mosquitoes,LivingAgent,39.23574,6.566541,1,178,LARVA,0.85,0,0,0,0,0,0,0,2912.0,0.0,1.3953,4.8347,15.23
100,d689f1d6-c888-42f2-92dd-6780edb7724d,Mosquitoes,LivingAgent,39.325007,5.434319,1,209,PUPA,0.528,0,0,0,0,0,0,0,1635.0,0.0,1.044,0.524,21.42
