Day,AdultCount,LarvaCount,PupaCount,MeanTemperature,MeanPrecipitation,TankCount,MeanWaterVolume,TotalEggs,TotalLarvae
1,19,10,5,27.36,8.8206,0,0.0,0,0
2,0,7,7,27.19,0.0,0,0.0,0,0
3,1,5,8,27.19,0.0,0,0.0,0,0
4,0,4,7,27.02,0.0,0,0.0,0,0
5,2,3,6,27.02,0.0,0,0.0,0,0
6,2,3,4,26.84,0.0,0,0.0,0,0
7,0,2,5,26.56,0.0,0,0.0,0,0
8,0,1,6,26.56,0.0,0,0.0,0,0
9,0,1,5,27.05,0.0,0,0.0,0,0
10,0,0,6,27.05,0.0,0,0.0,0,0
11,3,0,3,27.05,0.0,0,0.0,0,0
12,0,0,2,27.9,0.0,0,0.0,0,0
13,0,0,2,27.9,0.0,0,0.0,0,0
14,1,0,1,27.9,0.0,0,0.0,0,0
15,1,0,0,27.83,0.0,0,0.0,0,0
